coord,interval,distance,elevation
"(48.278879, 11.274208)",161.700814,18737.509476000003,527
"(48.280202, 11.271369)",256.543803,18994.053279000003,532
"(48.281347, 11.268952)",219.603416,19213.656695000005,517
"(48.282323, 11.26687)",188.501272,19402.157967000006,509
"(48.282893, 11.265675)",108.82438,19510.982347000005,507
"(48.283379, 11.264606)",95.825043,19606.807390000005,502
"(48.284082, 11.263083)",137.188873,19743.996263000005,501
"(48.28497, 11.261183)",171.845568,19915.841831000005,502
"(48.28609, 11.258721)",220.730271,20136.572102000006,501
"(48.286577, 11.257603)",98.897371,20235.469473000005,498
"(48.287176, 11.256176)",124.871222,20360.340695000006,496
"(48.287303, 11.255872)",26.565728,20386.906423000008,496
"(48.287719, 11.254827)",90.124046,20477.03046900001,498
"(48.28824, 11.253443)",117.684031,20594.71450000001,496
"(48.289037, 11.251227)",186.425894,20781.14039400001,506
"(48.28982, 11.248905)",192.651749,20973.79214300001,505
"(48.290839, 11.24556)",272.259904,21246.05204700001,510
"(48.292712, 11.239258)",510.7821,21756.83414700001,501
"(48.293708, 11.235907)",271.597504,22028.43165100001,497
"(48.294292, 11.233922)",160.610903,22189.04255400001,497
"(48.294796, 11.232198)",139.347442,22328.38999600001,496
"(48.295279, 11.230655)",126.186438,22454.57643400001,492
"(48.295356, 11.230412)",19.916911,22474.49334500001,492
"(48.295503, 11.22996)",37.229443,22511.72278800001,492
"(48.2959, 11.228741)",100.430893,22612.15368100001,494
"(48.296351, 11.227425)",109.540573,22721.69425400001,494
"(48.297007, 11.225701)",146.961405,22868.65565900001,495
"(48.297865, 11.223645)",179.588025,23048.243684000012,497
"(48.298051, 11.223254)",35.567392,23083.811076000013,497
"(48.29891, 11.221449)",164.214069,23248.025145000014,499
"(48.299456, 11.220358)",101.01832,23349.043465000013,502
"(48.300016, 11.219314)",99.230811,23448.274276000015,506
"(48.300953, 11.217696)",158.725061,23606.999337000016,507
"(48.301927, 11.216126)",158.839964,23765.839301000015,503
"(48.303636, 11.213558)",268.760381,24034.599682000015,501
"(48.305143, 11.211363)",233.384738,24267.984420000015,505
"(48.306587, 11.209256)",223.818721,24491.803141000015,513
