coord,interval,distance,elevation
"(48.405558, 10.600497)",7.096359,808.1401379999999,447
"(48.405624, 10.600713)",17.557328,825.6974659999998,447
"(48.405706, 10.60089)",15.937097,841.6345629999998,447
"(48.405854, 10.601041)",19.881947,861.5165099999998,447
"(48.40584, 10.601114)",5.610562,867.1270719999998,447
"(48.405841, 10.601189)",5.538935,872.6660069999998,447
"(48.405856, 10.601261)",5.571951,878.2379579999998,447
"(48.405884, 10.601323)",5.536832,883.7747899999998,447
"(48.405931, 10.601376)",6.530143,890.3049329999998,447
"(48.405988, 10.601402)",6.624187,896.9291199999998,447
"(48.406046, 10.601397)",6.461681,903.3908009999998,447
"(48.4061, 10.601363)",6.509771,909.9005719999998,447
"(48.406137, 10.601314)",5.479633,915.3802049999998,447
"(48.406163, 10.601252)",5.414811,920.7950159999998,447
"(48.406177, 10.601181)",5.46881,926.2638259999998,447
"(48.406247, 10.601113)",9.264391,935.5282169999998,447
"(48.406387, 10.601005)",17.494801,953.0230179999999,453
"(48.406678, 10.600905)",33.198367,986.2213849999998,453
"(48.407362, 10.600663)",78.148945,1064.3703299999997,453
"(48.407625, 10.600553)",30.359093,1094.7294229999998,453
"(48.407811, 10.600403)",23.466099,1118.1955219999998,453
"(48.407949, 10.600219)",20.497964,1138.6934859999997,453
"(48.408163, 10.600034)",27.44328,1166.1367659999996,453
"(48.408234, 10.6)",8.28647,1174.4232359999996,453
"(48.408279, 10.600017)",5.160168,1179.5834039999997,453
"(48.408333, 10.600025)",6.035195,1185.6185989999997,453
"(48.408417, 10.599987)",9.755189,1195.3737879999996,465
"(48.408484, 10.599919)",8.985662,1204.3594499999997,465
"(48.40851, 10.599849)",5.92241,1210.2818599999996,465
"(48.40853, 10.599767)",6.450102,1216.7319619999996,465
"(48.408535, 10.599666)",7.477909,1224.2098709999996,465
"(48.408517, 10.599557)",8.293161,1232.5030319999996,465
"(48.408492, 10.599499)",5.10594,1237.6089719999995,465
"(48.408467, 10.599458)",4.110462,1241.7194339999996,465
"(48.408473, 10.599325)",9.842541,1251.5619749999996,465
"(48.408576, 10.598809)",39.783392,1291.3453669999997,465
"(48.408784, 10.598123)",55.683289,1347.0286559999997,465
"(48.408947, 10.597911)",23.951989,1370.9806449999996,457
"(48.409048, 10.597829)",12.761432,1383.7420769999997,457
"(48.409148, 10.597781)",11.673589,1395.4156659999996,457
"(48.409243, 10.597769)",10.603578,1406.0192439999996,457
"(48.409372, 10.597783)",14.385377,1420.4046209999997,457
"(48.409469, 10.597827)",11.267432,1431.6720529999998,457
"(48.409555, 10.597891)",10.668935,1442.3409879999997,457
"(48.409654, 10.598001)",13.682481,1456.0234689999997,465
"(48.409723, 10.598127)",12.059949,1468.0834179999997,465
"(48.409777, 10.598263)",11.700391,1479.7838089999998,465
"(48.409826, 10.598449)",14.774676,1494.5584849999998,465
"(48.409892, 10.598793)",26.437735,1520.9962199999998,465
"(48.409872, 10.600957)",159.787305,1680.7835249999998,467
"(48.409865, 10.601986)",75.976839,1756.7603639999998,467
"(48.409842, 10.603806)",134.398136,1891.1584999999998,463
"(48.409826, 10.605051)",91.937791,1983.0962909999998,465
"(48.409753, 10.607976)",216.110727,2199.207018,471
"(48.409756, 10.609936)",144.710898,2343.917916,487
"(48.409791, 10.610903)",71.50147,2415.419386,498
"(48.409852, 10.61208)",87.164488,2502.583874,498
"(48.409924, 10.612932)",63.412322,2565.996196,510
"(48.410058, 10.614369)",107.137702,2673.133898,510
"(48.410169, 10.615606)",92.160119,2765.294017,523
"(48.410243, 10.616464)",63.879679,2829.1736960000003,523
"(48.410298, 10.617218)",56.003799,2885.1774950000004,526
"(48.410349, 10.618258)",76.993559,2962.1710540000004,526
"(48.410368, 10.619143)",65.374617,3027.5456710000003,534
"(48.410368, 10.619995)",62.904015,3090.4496860000004,534
"(48.410337, 10.621386)",102.756823,3193.2065090000006,537
"(48.410248, 10.622868)",109.864591,3303.0711000000006,537
"(48.410148, 10.623811)",70.505722,3373.5768220000004,530
"(48.409915, 10.625802)",149.265483,3522.8423050000006,533
"(48.409704, 10.627729)",144.196556,3667.0388610000005,534
"(48.409599, 10.628882)",85.925718,3752.9645790000004,534
"(48.40953, 10.629974)",80.989177,3833.9537560000003,530
"(48.409489, 10.631291)",97.34395,3931.2977060000003,535
"(48.409486, 10.632418)",83.209651,4014.5073570000004,535
"(48.409515, 10.633829)",104.227247,4118.734604,534
"(48.409552, 10.63451)",50.447878,4169.182482,534
"(48.409691, 10.636222)",127.342533,4296.525015,538
"(48.409843, 10.637469)",93.607731,4390.132746,538
"(48.409984, 10.638489)",76.923944,4467.05669,539
"(48.410134, 10.639492)",75.90911,4542.9658,539
"(48.410431, 10.641517)",153.114047,4696.079847,535
"(48.410633, 10.642944)",107.725535,4803.805382,530
"(48.410977, 10.645229)",172.986898,4976.79228,530
"(48.411185, 10.646662)",108.298298,5085.090577999999,538
"(48.411226, 10.646955)",22.10758,5107.198157999999,538
"(48.411471, 10.648668)",129.372584,5236.570741999999,538
"(48.411595, 10.649542)",65.984326,5302.555067999999,538
"(48.411712, 10.650304)",57.74332,5360.298387999998,539
"(48.411894, 10.651542)",93.615083,5453.913470999998,539
"(48.412488, 10.65566)",311.121107,5765.034577999998,544
"(48.41271, 10.657006)",102.394019,5867.428596999998,545
"(48.412972, 10.658287)",98.960858,5966.389454999999,545
"(48.413217, 10.659421)",88.043189,6054.432643999999,544
"(48.413442, 10.660236)",65.165763,6119.598406999999,544
"(48.4138, 10.661454)",98.342433,6217.940839999998,541
"(48.414124, 10.662477)",83.681119,6301.621958999998,541
"(48.414443, 10.663383)",75.714047,6377.336005999999,545
"(48.414931, 10.664576)",103.455233,6480.791238999998,539
"(48.41512, 10.665027)",39.375806,6520.167044999998,523
"(48.415145, 10.665081)",4.860478,6525.027522999998,523
"(48.415312, 10.665438)",32.243089,6557.2706119999975,523
"(48.415607, 10.666068)",56.918248,6614.1888599999975,523
"(48.416044, 10.666967)",82.262414,6696.451273999997,528
"(48.416255, 10.667411)",40.312896,6736.764169999998,528
"(48.416914, 10.668764)",123.890506,6860.654675999997,531
"(48.417216, 10.669385)",56.832149,6917.486824999997,531
"(48.417831, 10.670794)",124.490507,7041.977331999998,531
"(48.418274, 10.671987)",100.914138,7142.891469999998,543
"(48.418531, 10.672749)",63.096843,7205.988312999998,543
"(48.418756, 10.673475)",59.147796,7265.136108999998,519
"(48.419045, 10.674567)",86.782618,7351.918726999998,519
"(48.419212, 10.675298)",57.068645,7408.987371999999,523
"(48.419463, 10.676581)",98.737519,7507.724890999999,523
"(48.419683, 10.67797)",105.412167,7613.137057999999,531
"(48.419826, 10.679436)",109.378891,7722.515949,538
"(48.419893, 10.680456)",75.661456,7798.177404999999,538
"(48.419928, 10.681483)",75.910098,7874.087503,537
"(48.419931, 10.682588)",81.568601,7955.656104,537
"(48.419876, 10.683831)",91.958432,8047.614536,527
"(48.419801, 10.684788)",71.133941,8118.748477,527
"(48.419685, 10.685944)",86.302796,8205.051273000001,524
"(48.419557, 10.687016)",80.402943,8285.454216,524
"(48.419466, 10.687776)",57.007209,8342.461425,528
"(48.419426, 10.68811)",25.053355,8367.51478,528
"(48.419318, 10.688988)",65.915951,8433.430731,528
"(48.419232, 10.689778)",59.095568,8492.526299000001,543
"(48.419162, 10.690434)",49.046648,8541.572947,543
"(48.419081, 10.691277)",62.877614,8604.450561000001,543
"(48.41896, 10.692685)",104.804083,8709.254644000002,547
"(48.418917, 10.693248)",41.834144,8751.088788000003,547
"(48.418885, 10.693674)",31.647512,8782.736300000002,547
"(48.418819, 10.694542)",64.493768,8847.230068000003,536
"(48.418701, 10.696288)",129.554182,8976.784250000002,560
"(48.418609, 10.697476)",88.291922,9065.076172000003,560
"(48.418547, 10.698417)",69.80522,9134.881392000003,544
"(48.41844, 10.699924)",111.880337,9246.761729000003,544
"(48.418414, 10.700347)",31.359192,9278.120921000003,544
"(48.418327, 10.70156)",90.064264,9368.185185000004,544
"(48.418237, 10.702673)",82.768694,9450.953879000004,539
"(48.418083, 10.704992)",172.042673,9622.996552000004,536
"(48.417986, 10.706619)",120.588541,9743.585093000003,528
"(48.417875, 10.7083)",124.704117,9868.289210000003,528
"(48.417675, 10.71094)",196.150945,10064.440155000002,515
"(48.417453, 10.713866)",217.405729,10281.845884000002,503
"(48.417376, 10.715039)",87.014271,10368.860155000002,495
"(48.417224, 10.717133)",155.502817,10524.362972000003,490
"(48.417075, 10.719171)",151.35756,10675.720532000003,497
"(48.417039, 10.719637)",34.632974,10710.353506000003,497
"(48.416926, 10.721283)",122.158319,10832.511825000003,515
"(48.416837, 10.722886)",118.749263,10951.261088000003,515
"(48.416774, 10.723988)",81.652695,11032.913783000004,520
"(48.416698, 10.726474)",183.715469,11216.629252000004,522
"(48.416673, 10.728526)",151.507916,11368.137168000005,522
"(48.416694, 10.731507)",220.075283,11588.212451000005,553
"(48.416749, 10.733324)",134.273599,11722.486050000005,553
"(48.416833, 10.735525)",162.749912,11885.235962000004,556
"(48.416922, 10.73775)",164.550982,12049.786944000005,551
"(48.416999, 10.739935)",161.527038,12211.313982000005,553
"(48.417035, 10.740676)",54.847976,12266.161958000004,553
"(48.417071, 10.741572)",66.264971,12332.426929000005,553
"(48.417104, 10.742212)",47.387961,12379.814890000005,548
"(48.417199, 10.744909)",199.375851,12579.190741000006,550
"(48.417348, 10.748652)",276.808473,12855.999214000005,546
"(48.417446, 10.751078)",179.420666,13035.419880000005,542
"(48.417516, 10.752983)",140.843753,13176.263633000004,541
"(48.417617, 10.755538)",188.945763,13365.209396000004,538
"(48.417721, 10.758109)",190.144441,13555.353837000004,531
"(48.417854, 10.761405)",243.760769,13799.114606000005,513
"(48.417953, 10.763731)",172.058181,13971.172787000005,508
"(48.417979, 10.764341)",45.122947,14016.295734000005,508
"(48.418131, 10.766793)",181.794087,14198.089821000005,492
"(48.418276, 10.768702)",141.841541,14339.931362000005,492
"(48.418282, 10.768777)",5.57654,14345.507902000005,481
"(48.418399, 10.770105)",98.892178,14444.400080000005,481
"(48.418597, 10.772102)",149.052871,14593.452951000005,491
"(48.418812, 10.773877)",133.192878,14726.645829000005,500
"(48.419059, 10.775804)",144.87705,14871.522879000004,502
"(48.419231, 10.777322)",113.677464,14985.200343000004,498
"(48.419347, 10.778469)",85.646711,15070.847054000003,498
"(48.41953, 10.780427)",145.961503,15216.808557000004,495
"(48.419669, 10.78219)",131.055548,15347.864105000004,494
"(48.419743, 10.783437)",92.4176,15440.281705000005,489
"(48.419869, 10.78637)",216.959248,15657.240953000004,484
"(48.419894, 10.787104)",54.253124,15711.494077000005,484
"(48.41993, 10.788991)",139.350494,15850.844571000005,482
"(48.419946, 10.790496)",111.109001,15961.953572000006,474
"(48.419982, 10.793681)",235.141464,16197.095036000006,471
